=== 元数据索引构建监控开始 2026-04-29 17:38:07 ===
目标: 55,873 个向量

[19:03:11] 进度: 25,624/55,873 (45.9%) | 剩余: 30,249
[19:04:11] 进度: 25,848/55,873 (46.3%) | 剩余: 30,025
[19:05:11] 进度: 26,092/55,873 (46.7%) | 剩余: 29,781
[19:06:11] 进度: 26,308/55,873 (47.1%) | 剩余: 29,565
[19:07:11] 进度: 26,544/55,873 (47.5%) | 剩余: 29,329
[19:08:11] 进度: 26,760/55,873 (47.9%) | 剩余: 29,113
[19:09:11] 进度: 26,988/55,873 (48.3%) | 剩余: 28,885
[19:10:11] 进度: 27,212/55,873 (48.7%) | 剩余: 28,661
[19:11:11] 进度: 27,448/55,873 (49.1%) | 剩余: 28,425
[19:12:12] 进度: 27,664/55,873 (49.5%) | 剩余: 28,209
[19:13:12] 进度: 27,892/55,873 (49.9%) | 剩余: 27,981
[19:14:12] 进度: 28,108/55,873 (50.3%) | 剩余: 27,765
[19:15:12] 进度: 28,332/55,873 (50.7%) | 剩余: 27,541
[19:16:12] 进度: 28,560/55,873 (51.1%) | 剩余: 27,313
[19:17:12] 进度: 28,780/55,873 (51.5%) | 剩余: 27,093
[19:18:12] 进度: 29,012/55,873 (51.9%) | 剩余: 26,861
[19:19:12] 进度: 29,236/55,873 (52.3%) | 剩余: 26,637
[19:20:12] 进度: 29,452/55,873 (52.7%) | 剩余: 26,421
[19:21:12] 进度: 29,688/55,873 (53.1%) | 剩余: 26,185
[19:22:12] 进度: 29,920/55,873 (53.6%) | 剩余: 25,953
[19:23:12] 进度: 30,152/55,873 (54.0%) | 剩余: 25,721
[19:24:12] 进度: 30,372/55,873 (54.4%) | 剩余: 25,501
[19:25:12] 进度: 30,588/55,873 (54.7%) | 剩余: 25,285
[19:26:12] 进度: 30,816/55,873 (55.2%) | 剩余: 25,057
[19:27:12] 进度: 31,048/55,873 (55.6%) | 剩余: 24,825
[19:28:12] 进度: 31,272/55,873 (56.0%) | 剩余: 24,601
[19:29:13] 进度: 31,496/55,873 (56.4%) | 剩余: 24,377
[19:30:13] 进度: 31,732/55,873 (56.8%) | 剩余: 24,141
[19:31:13] 进度: 31,960/55,873 (57.2%) | 剩余: 23,913
[19:32:13] 进度: 32,176/55,873 (57.6%) | 剩余: 23,697
[19:33:13] 进度: 32,412/55,873 (58.0%) | 剩余: 23,461
[19:34:13] 进度: 32,636/55,873 (58.4%) | 剩余: 23,237
[19:35:13] 进度: 32,848/55,873 (58.8%) | 剩余: 23,025
[19:36:13] 进度: 33,088/55,873 (59.2%) | 剩余: 22,785
[19:37:13] 进度: 33,312/55,873 (59.6%) | 剩余: 22,561
[19:38:13] 进度: 33,532/55,873 (60.0%) | 剩余: 22,341
[19:39:13] 进度: 33,752/55,873 (60.4%) | 剩余: 22,121
[19:40:13] 进度: 33,984/55,873 (60.8%) | 剩余: 21,889
[19:41:13] 进度: 34,192/55,873 (61.2%) | 剩余: 21,681
[19:42:13] 进度: 34,436/55,873 (61.6%) | 剩余: 21,437
[19:43:13] 进度: 34,592/55,873 (61.9%) | 剩余: 21,281
[19:44:14] 进度: 34,592/55,873 (61.9%) | 剩余: 21,281
[19:45:14] 进度: 34,928/55,873 (62.5%) | 剩余: 20,945
[19:46:14] 进度: 35,268/55,873 (63.1%) | 剩余: 20,605
[19:47:14] 进度: 35,504/55,873 (63.5%) | 剩余: 20,369
[19:48:14] 进度: 35,716/55,873 (63.9%) | 剩余: 20,157
[19:49:14] 进度: 35,944/55,873 (64.3%) | 剩余: 19,929
[19:50:14] 进度: 36,172/55,873 (64.7%) | 剩余: 19,701
[19:51:14] 进度: 36,392/55,873 (65.1%) | 剩余: 19,481
[19:52:14] 进度: 36,628/55,873 (65.6%) | 剩余: 19,245
[19:53:14] 进度: 36,856/55,873 (66.0%) | 剩余: 19,017
[19:54:14] 进度: 37,072/55,873 (66.4%) | 剩余: 18,801
[19:55:14] 进度: 37,284/55,873 (66.7%) | 剩余: 18,589
[19:56:14] 进度: 37,636/55,873 (67.4%) | 剩余: 18,237
[19:57:14] 进度: 37,860/55,873 (67.8%) | 剩余: 18,013
[19:58:14] 进度: 38,104/55,873 (68.2%) | 剩余: 17,769
[19:59:14] 进度: 38,308/55,873 (68.6%) | 剩余: 17,565
[20:00:15] 进度: 38,552/55,873 (69.0%) | 剩余: 17,321
[20:01:15] 进度: 38,764/55,873 (69.4%) | 剩余: 17,109
[20:02:15] 进度: 39,004/55,873 (69.8%) | 剩余: 16,869
[20:03:15] 进度: 39,228/55,873 (70.2%) | 剩余: 16,645
[20:04:15] 进度: 39,452/55,873 (70.6%) | 剩余: 16,421
[20:05:15] 进度: 39,684/55,873 (71.0%) | 剩余: 16,189
[20:06:15] 进度: 39,888/55,873 (71.4%) | 剩余: 15,985
[20:07:15] 进度: 40,108/55,873 (71.8%) | 剩余: 15,765
[20:08:15] 进度: 40,336/55,873 (72.2%) | 剩余: 15,537
[20:09:15] 进度: 40,560/55,873 (72.6%) | 剩余: 15,313
[20:10:15] 进度: 40,764/55,873 (73.0%) | 剩余: 15,109
[20:11:15] 进度: 40,764/55,873 (73.0%) | 剩余: 15,109
[20:12:15] 进度: 41,120/55,873 (73.6%) | 剩余: 14,753
[20:13:15] 进度: 41,404/55,873 (74.1%) | 剩余: 14,469
[20:14:16] 进度: 41,648/55,873 (74.5%) | 剩余: 14,225
[20:15:16] 进度: 41,860/55,873 (74.9%) | 剩余: 14,013
[20:16:16] 进度: 42,092/55,873 (75.3%) | 剩余: 13,781
[20:17:16] 进度: 42,324/55,873 (75.8%) | 剩余: 13,549
[20:18:16] 进度: 42,548/55,873 (76.2%) | 剩余: 13,325
[20:19:16] 进度: 42,772/55,873 (76.6%) | 剩余: 13,101
[20:20:16] 进度: 43,000/55,873 (77.0%) | 剩余: 12,873
[20:21:16] 进度: 43,228/55,873 (77.4%) | 剩余: 12,645
[20:22:16] 进度: 43,456/55,873 (77.8%) | 剩余: 12,417
[20:23:16] 进度: 43,664/55,873 (78.1%) | 剩余: 12,209
[20:24:16] 进度: 43,876/55,873 (78.5%) | 剩余: 11,997
[20:25:17] 进度: 44,160/55,873 (79.0%) | 剩余: 11,713
[20:26:17] 进度: 44,372/55,873 (79.4%) | 剩余: 11,501
[20:27:17] 进度: 44,612/55,873 (79.8%) | 剩余: 11,261
[20:28:17] 进度: 44,828/55,873 (80.2%) | 剩余: 11,045
[20:29:17] 进度: 45,056/55,873 (80.6%) | 剩余: 10,817
[20:30:17] 进度: 45,276/55,873 (81.0%) | 剩余: 10,597
[20:31:17] 进度: 45,496/55,873 (81.4%) | 剩余: 10,377
[20:32:17] 进度: 45,724/55,873 (81.8%) | 剩余: 10,149
[20:33:17] 进度: 45,964/55,873 (82.3%) | 剩余: 9,909
[20:34:17] 进度: 46,168/55,873 (82.6%) | 剩余: 9,705
[20:35:17] 进度: 46,404/55,873 (83.1%) | 剩余: 9,469
[20:36:17] 进度: 46,628/55,873 (83.5%) | 剩余: 9,245
[20:37:17] 进度: 46,848/55,873 (83.8%) | 剩余: 9,025
[20:38:17] 进度: 47,084/55,873 (84.3%) | 剩余: 8,789
[20:39:18] 进度: 47,292/55,873 (84.6%) | 剩余: 8,581
[20:40:18] 进度: 47,516/55,873 (85.0%) | 剩余: 8,357
[20:41:18] 进度: 47,748/55,873 (85.5%) | 剩余: 8,125
[20:42:18] 进度: 47,960/55,873 (85.8%) | 剩余: 7,913
[20:43:18] 进度: 48,188/55,873 (86.2%) | 剩余: 7,685
[20:44:18] 进度: 48,428/55,873 (86.7%) | 剩余: 7,445
[20:45:18] 进度: 48,640/55,873 (87.1%) | 剩余: 7,233
[20:46:18] 进度: 48,876/55,873 (87.5%) | 剩余: 6,997
[20:47:18] 进度: 49,088/55,873 (87.9%) | 剩余: 6,785
[20:48:18] 进度: 49,304/55,873 (88.2%) | 剩余: 6,569
[20:49:18] 进度: 49,544/55,873 (88.7%) | 剩余: 6,329
[20:50:18] 进度: 49,768/55,873 (89.1%) | 剩余: 6,105
[20:51:18] 进度: 49,972/55,873 (89.4%) | 剩余: 5,901
[20:52:19] 进度: 50,180/55,873 (89.8%) | 剩余: 5,693
[20:53:19] 进度: 50,436/55,873 (90.3%) | 剩余: 5,437
[20:54:19] 进度: 50,676/55,873 (90.7%) | 剩余: 5,197
[20:55:19] 进度: 50,892/55,873 (91.1%) | 剩余: 4,981
[20:56:19] 进度: 51,112/55,873 (91.5%) | 剩余: 4,761
[20:57:19] 进度: 51,344/55,873 (91.9%) | 剩余: 4,529
[20:58:19] 进度: 51,516/55,873 (92.2%) | 剩余: 4,357
[20:59:19] 进度: 51,784/55,873 (92.7%) | 剩余: 4,089
[21:00:19] 进度: 52,032/55,873 (93.1%) | 剩余: 3,841
[21:01:19] 进度: 52,256/55,873 (93.5%) | 剩余: 3,617
[21:02:19] 进度: 52,472/55,873 (93.9%) | 剩余: 3,401
[21:03:20] 进度: 52,700/55,873 (94.3%) | 剩余: 3,173
[21:04:20] 进度: 52,928/55,873 (94.7%) | 剩余: 2,945
[21:05:20] 进度: 53,160/55,873 (95.1%) | 剩余: 2,713
[21:06:20] 进度: 53,380/55,873 (95.5%) | 剩余: 2,493
[21:07:20] 进度: 53,604/55,873 (95.9%) | 剩余: 2,269
[21:08:20] 进度: 53,824/55,873 (96.3%) | 剩余: 2,049
[21:09:20] 进度: 54,052/55,873 (96.7%) | 剩余: 1,821
[21:10:20] 进度: 54,268/55,873 (97.1%) | 剩余: 1,605
[21:11:20] 进度: 54,504/55,873 (97.5%) | 剩余: 1,369
[21:12:20] 进度: 54,720/55,873 (97.9%) | 剩余: 1,153
[21:13:20] 进度: 54,972/55,873 (98.4%) | 剩余: 901
[21:14:20] 进度: 55,196/55,873 (98.8%) | 剩余: 677
[21:15:20] 进度: 55,420/55,873 (99.2%) | 剩余: 453
[21:16:20] 进度: 55,640/55,873 (99.6%) | 剩余: 233
[21:17:20] 进度: 55,864/55,873 (100.0%) | 剩余: 9
[21:18:21] 进程已结束
最终结果: 55873/55873 (100.0%)
